2023-12-09T19:25:35.797Z [info] [proc] Executing command: cmake --version
2023-12-09T19:25:35.897Z [warning] [proc] The command: cmake --version failed with error: Error: spawn cmake ENOENT
2023-12-09T19:25:35.927Z [info] [proc] Executing command: cmake -E capabilities
2023-12-09T19:25:35.995Z [warning] [proc] The command: cmake -E capabilities failed with error: Error: spawn cmake ENOENT
2023-12-09T19:25:35.998Z [debug] [main] Safe constructing new CMakeProject instance
2023-12-09T19:25:35.999Z [debug] [variant] Constructing VariantManager
2023-12-09T19:25:36.000Z [debug] [main] Constructing new CMakeProject instance
2023-12-09T19:25:36.001Z [debug] [main] Starting CMake Tools second-phase init
2023-12-09T19:25:36.081Z [info] [variant] Loaded new set of variants
2023-12-09T19:25:36.094Z [debug] [kit] Not reading non-existent kits file: /root/.local/share/CMakeTools/cmake-tools-kits.json
2023-12-09T19:25:36.145Z [fatal] [rollbar] Unhandled exception: Unhandled Promise rejection: Reloading variants file /root/.aws Error: EISDIR: illegal operation on a directory, read {}
2023-12-09T19:25:36.182Z [fatal] [rollbar] Unhandled exception: Unhandled Promise rejection: Reloading variants file /root/.azure Error: EISDIR: illegal operation on a directory, read {}
2023-12-09T19:25:36.256Z [debug] [kit] Not reading non-existent kits file: /root/.vscode/cmake-kits.json
2023-12-09T19:25:36.260Z [debug] [main] CMakeProject instance initialization complete.
2023-12-09T19:25:36.389Z [debug] [kit] Not reading non-existent kits file: /root/.vscode/cmake-kits.json
2023-12-09T19:25:36.400Z [debug] [kit] Not reading non-existent kits file: /root/.vscode/cmake-kits.json
2023-12-09T19:26:01.450Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:29:48.140Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:38:27.689Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:38:31.495Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:38:44.338Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:38:46.540Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:38:50.407Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:39:15.105Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:39:16.313Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:42:10.719Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:42:17.001Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:43:42.880Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:43:48.081Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:44:32.696Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:44:36.688Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:45:47.439Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:46:12.894Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:46:16.046Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:46:17.792Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:46:22.813Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:47:20.795Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:47:46.644Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:49:24.596Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:49:49.011Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:49:53.245Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:50:01.668Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:50:20.803Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:50:22.050Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:50:42.431Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:51:23.563Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:51:26.306Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:51:28.615Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:51:31.386Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:51:36.541Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:52:04.170Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:52:12.148Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:52:16.252Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:54:01.140Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:54:02.864Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:54:05.618Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:55:44.951Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:55:50.282Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:55:52.022Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:56:00.510Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:56:06.623Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:56:09.763Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:56:11.250Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:56:23.076Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:56:28.318Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:56:42.477Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:56:48.556Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:57:24.161Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T19:58:06.681Z [debug] [main] Not starting CMake driver: no kit selected
